q_offset,i_offset,n_offset,m_offset,detectable_2.5,detectable_5.0,detectable_7.5,detectable_10.0,detectable_sum
-126.0,-2.2,-1.9,-1.4,0,0,1,1,2
-126.0,-1.7000000000000002,-1.5,-1.4,0,0,0,1,1
-124.0,-2.2,-1.9,-1.4,0,0,0,1,1
-124.0,-1.2999999999999998,-1.2000000000000002,-1.3,0,0,0,1,1
-122.0,-2.3,-2.0,-1.4,0,0,0,1,1
-122.0,-1.7999999999999998,-1.6,-1.3,0,0,1,1,2
-122.0,-1.7000000000000002,-1.5,-1.3,0,0,0,1,1
-120.0,-2.1,-1.8,-1.3,0,0,0,1,1
-120.0,-1.7999999999999998,-1.6,-1.3,0,0,1,1,2
-120.0,-1.7000000000000002,-1.5,-1.3,0,0,0,1,1
-118.0,-2.3,-2.0,-1.3,0,1,1,1,3
-118.0,-2.2,-1.9,-1.3,0,1,1,1,3
-118.0,-2.1,-1.8,-1.3,0,0,0,1,1
-118.0,-1.7999999999999998,-1.6,-1.3,0,1,1,1,3
-118.0,-1.7000000000000002,-1.5,-1.3,0,0,1,1,2
-118.0,-1.2999999999999998,-1.2000000000000002,-1.2,0,0,0,1,1
-116.0,-2.6,-2.2,-1.3,0,0,0,1,1
-116.0,-2.3,-2.0,-1.3,0,1,1,1,3
-116.0,-2.2,-1.9,-1.3,0,0,1,1,2
-116.0,-2.1,-1.8,-1.3,0,0,0,1,1
-116.0,-1.7999999999999998,-1.6,-1.3,0,1,1,1,3
-116.0,-1.7000000000000002,-1.5,-1.3,0,0,1,1,2
-116.0,-1.2999999999999998,-1.2000000000000002,-1.2,0,0,0,1,1
-114.0,-2.8,-2.4,-1.3,0,0,0,1,1
-114.0,-2.3,-2.0,-1.3,0,0,1,1,2
-114.0,-2.2,-1.9,-1.3,0,0,0,1,1
-114.0,-1.7999999999999998,-1.6,-1.3,0,1,1,1,3
-114.0,-1.7000000000000002,-1.5,-1.2,0,0,1,1,2
-114.0,-1.7000000000000002,-1.5,-1.3,0,0,0,1,1
-114.0,-1.2999999999999998,-1.2000000000000002,-1.2,0,0,1,1,2
-112.0,-2.4000000000000004,-2.1,-1.3,0,0,0,1,1
-112.0,-2.3,-2.0,-1.3,0,0,0,1,1
-112.0,-2.1,-1.8,-1.2,0,0,1,1,2
-112.0,-1.7999999999999998,-1.6,-1.2,0,0,0,1,1
-112.0,-1.7999999999999998,-1.6,-1.3,0,0,1,1,2
-112.0,-1.7000000000000002,-1.5,-1.2,0,0,1,1,2
-112.0,-1.6,-1.4,-1.2,0,0,0,1,1
-112.0,-1.2999999999999998,-1.2000000000000002,-1.2,0,0,1,1,2
-112.0,-1.2000000000000002,-1.1,-1.2,0,0,0,1,1
-110.0,-2.5,-2.1,-1.2,0,0,0,1,1
-110.0,-2.4000000000000004,-2.1,-1.2,0,1,1,1,3
-110.0,-2.3,-2.0,-1.2,0,1,1,1,3
-110.0,-2.2,-1.9,-1.2,0,1,1,1,3
-110.0,-2.1,-1.8,-1.2,0,0,1,1,2
-110.0,-1.7999999999999998,-1.6,-1.2,0,0,1,1,2
-110.0,-1.7000000000000002,-1.5,-1.2,0,0,1,1,2
-110.0,-1.6,-1.4,-1.2,0,0,0,1,1
-110.0,-1.2999999999999998,-1.2000000000000002,-1.3,0,0,0,1,1
-110.0,-1.2999999999999998,-1.2000000000000002,-1.2,0,0,1,1,2
-110.0,-1.2000000000000002,-1.1,-1.2,0,0,0,1,1
-110.0,-0.8999999999999999,-0.8999999999999999,-1.1,0,0,0,1,1
-108.0,-2.7,-2.3,-1.2,0,0,0,1,1
-108.0,-2.6,-2.2,-1.2,0,0,1,1,2
-108.0,-2.5,-2.1,-1.2,0,0,0,1,1
-108.0,-2.4000000000000004,-2.1,-1.2,0,1,1,1,3
-108.0,-2.3,-2.0,-1.2,0,1,1,1,3
-108.0,-2.2,-1.9,-1.2,0,1,1,1,3
-108.0,-2.1,-1.8,-1.2,0,0,1,1,2
-108.0,-1.7999999999999998,-1.6,-1.2,0,1,1,1,3
